Statement,Cheque Account 62xxxxxx891
Generated,sample data - not a real account

Date,Description,Amount,Balance
01/01/2026,CARD PURCHASE 4067********1234 NANDOS FOURWAYS,-202.29,42297.71
01/01/2026,PREPAID ELECTRICITY PURCHASE,-1200.00,41097.71
02/01/2026,CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,-39.62,41058.09
02/01/2026,DEBIT ORDER 10X INVEST RETIREMENT ANNUITY,-2500.00,38558.09
03/01/2026,CARD PURCHASE 4067********1234 PICK N PAY FAMILY BRYANSTON,-387.00,38171.09
03/01/2026,CARD PURCHASE 4067********1234 STER-KINEKOR MONTECASINO,-124.20,38046.89
03/01/2026,DEBIT ORDER APPLE.COM/BILL ICLOUD 2TB,-149.99,37896.90
03/01/2026,PARKING FOURWAYS MALL,-42.00,37854.90
04/01/2026,CARD PURCHASE 4067********1234 MR D FOOD,-222.60,37632.30
04/01/2026,CARD PURCHASE 4067********1234 SHELL RIVONIA,-591.00,37041.30
04/01/2026,CARD PURCHASE 4067********1234 TOPS AT SPAR LONEHILL,-513.00,36528.30
04/01/2026,CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM,-186.00,36342.30
05/01/2026,CARD FEE,-30.00,36312.30
05/01/2026,CARD PURCHASE 4067********1234 ABSOLUTE PETS LONEHILL,-489.00,35823.30
05/01/2026,CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,-67.00,35756.30
06/01/2026,CARD PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA,-1711.22,34045.08
06/01/2026,CARD PURCHASE 4067********1234 CLICKS FOURWAYS MALL,-242.00,33803.08
06/01/2026,CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,-67.00,33736.08
07/01/2026,CARD PURCHASE 4067********1234 KFC WITKOPPEN,-138.00,33598.08
07/01/2026,CARD PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN,-1676.73,31921.35
07/01/2026,CARD PURCHASE 4067********1234 WOOLWORTHS FOOD SANDTON ZA,-653.25,31268.10
07/01/2026,PARKING FOURWAYS MALL,-37.00,31231.10
08/01/2026,CARD PURCHASE 4067********1234 CLICKS FOURWAYS MALL,-399.68,30831.42
08/01/2026,CARD PURCHASE 4067********1234 DEBONAIRS PIZZA,-114.03,30717.39
08/01/2026,CARD PURCHASE 4067********1234 ENGEN FOURWAYS,-826.37,29891.02
08/01/2026,CARD PURCHASE 4067********1234 WOOLWORTHS FOOD SANDTON ZA,-563.37,29327.65
08/01/2026,SMS NOTIFICATION FEE,-6.00,29321.65
09/01/2026,CARD PURCHASE 4067********1234 NANDOS FOURWAYS,-255.00,29066.65
09/01/2026,CARD PURCHASE 4067********1234 PICK N PAY FAMILY BRYANSTON,-540.00,28526.65
09/01/2026,DEBIT ORDER SPOTIFY P29B4CE1F STOCKHOLM,-66.99,28459.66
09/01/2026,DEBIT ORDER VIRGIN ACTIVE SA PTY,-855.00,27604.66
10/01/2026,CARD PURCHASE 4067********1234 DIS-CHEM PHARMACY,-241.00,27363.66
10/01/2026,CARD PURCHASE 4067********1234 MR PRICE FOURWAYS,-243.80,27119.86
10/01/2026,CARD PURCHASE 4067********1234 TOPS AT SPAR LONEHILL,-370.00,26749.86
10/01/2026,CITY OF JOHANNESBURG RATES AND TAXES,-1780.00,24969.86
10/01/2026,DEBIT ORDER OUTSURANCE 8821,-1423.00,23546.86
11/01/2026,CARD PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA,-487.16,23059.70
11/01/2026,CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,-926.00,22133.70
11/01/2026,CARD PURCHASE 4067********1234 STEAM GAMES,-633.52,21500.18
11/01/2026,CARD PURCHASE 4067********1234 TOPS AT SPAR LONEHILL,-787.55,20712.63
