Posting Date,Reference,Details,Transaction Amount
03/01/2026,CARD,PURCHASE 4067********1234 DIS-CHEM PHARMACY,(160.96)
03/01/2026,CARD,PURCHASE 4067********1234 ENGEN FOURWAYS,(1067.71)
03/01/2026,CARD,PURCHASE 4067********1234 MR D FOOD,(350.58)
03/01/2026,CARD,PURCHASE 4067********1234 WOOLWORTHS FOOD SANDTON ZA,(319.00)
03/01/2026,PREPAID,ELECTRICITY PURCHASE,(1200.00)
03/02/2026,CARD,PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA,(971.77)
03/02/2026,CARD,PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,(552.23)
03/02/2026,CARD,PURCHASE 4067********1234 KFC WITKOPPEN,(102.00)
03/02/2026,DEBIT,ORDER 10X INVEST RETIREMENT ANNUITY,(2500.00)
03/03/2026,CARD,PURCHASE 4067********1234 ABSOLUTE PETS LONEHILL,(885.00)
03/03/2026,CARD,PURCHASE 4067********1234 BUILDERS WAREHOUSE STRIJDOM,(1055.22)
03/03/2026,CARD,PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA,(1704.36)
03/03/2026,CARD,PURCHASE 4067********1234 HOLLYWOODBETS ONLINE,(999.90)
03/03/2026,CARD,PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,(67.00)
03/03/2026,DEBIT,ORDER APPLE.COM/BILL ICLOUD 2TB,(149.99)
03/04/2026,CARD,PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY,(72.00)
03/05/2026,CARD,FEE,(30.00)
03/05/2026,CARD,PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM,(105.00)
03/06/2026,PARKING,FOURWAYS MALL,(24.00)
03/07/2026,CARD,PURCHASE 4067********1234 BOLT REQUEST TALLINN EE,(83.98)
03/08/2026,CARD,PURCHASE 4067********1234 ENGEN FOURWAYS,(662.53)
03/08/2026,CARD,PURCHASE 4067********1234 STEAM GAMES,(126.20)
03/08/2026,CARD,PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM,(136.77)
03/08/2026,SMS,NOTIFICATION FEE,(6.00)
03/09/2026,DEBIT,ORDER SPOTIFY P29B4CE1F STOCKHOLM,(66.99)
03/09/2026,DEBIT,ORDER VIRGIN ACTIVE SA PTY,(855.00)
