ACCOUNT STATEMENT
Account Number;1234567890
Period;16 Jan 2026 to 27 Feb 2026

Transaction Date;Narrative;Debit Amount;Credit Amount;Running Balance
2026-01-16;CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM;153.00;;9 833.26
2026-01-17;CARD PURCHASE 4067********1234 BETWAY SA;462.07;;9 371.19
2026-01-17;CARD PURCHASE 4067********1234 SANRAL E-TOLL;309.64;;9 061.55
2026-01-17;CARD PURCHASE 4067********1234 STARBUCKS ROSEBANK;62.00;;8 999.55
2026-01-17;CARD PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN;850.88;;8 148.67
2026-01-17;DEBIT ORDER MICROSOFT 365 FAMILY;129.99;;8 018.68
2026-01-18;BOND REPAYMENT ABSA HOMELOAN 4067;12 850.00;;-4 831.32
2026-01-18;PARKING FOURWAYS MALL;29.00;;-4 860.32
2026-01-19;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;45.66;;-4 905.98
2026-01-19;DEBIT ORDER NETFLIX.COM AMSTERDAM NL;199.00;;-5 104.98
2026-01-19;DEBIT ORDER SHOWMAX RANDBURG ZA;99.00;;-5 203.98
2026-01-20;CARD PURCHASE 4067********1234 MR D FOOD;186.25;;-5 390.23
2026-01-20;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;83.09;;-5 473.32
2026-01-21;CARD PURCHASE 4067********1234 BETWAY SA;270.00;;-5 743.32
2026-01-21;CARD PURCHASE 4067********1234 UBER EATS ZA;213.68;;-5 957.00
2026-01-22;CARD PURCHASE 4067********1234 BETWAY SA;401.45;;-6 358.45
2026-01-23;ATM CASH WITHDRAWAL SANDTON;1 684.00;;-8 042.45
2026-01-23;CARD PURCHASE 4067********1234 BOLT REQUEST TALLINN EE;151.64;;-8 194.09
2026-01-23;CARD PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA;1 342.00;;-9 536.09
2026-01-23;CARD PURCHASE 4067********1234 ENGEN FOURWAYS;781.31;;-10 317.40
2026-01-23;CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE;575.92;;-10 893.32
2026-01-23;DEBIT ORDER DISCOVERY HEALTH MEDICAL SCHEME;3 890.00;;-14 783.32
2026-01-24;DEBIT ORDER VODACOM SP PTY LTD;899.00;;-15 682.32
2026-01-25;CARD PURCHASE 4067********1234 STARBUCKS ROSEBANK;78.47;;-15 760.79
2026-01-25;CARD PURCHASE 4067********1234 UBER EATS ZA;326.99;;-16 087.78
2026-01-25;SALARY ACB CREDIT IGNITION GROUP;;68 500.00;52 412.22
2026-01-26;CARD PURCHASE 4067********1234 BOLT REQUEST TALLINN EE;69.00;;52 343.22
2026-01-26;CARD PURCHASE 4067********1234 ENGEN FOURWAYS;841.09;;51 502.13
2026-01-26;CARD PURCHASE 4067********1234 STARBUCKS ROSEBANK;73.00;;51 429.13
2026-01-26;CARD PURCHASE 4067********1234 UBER EATS ZA;417.42;;51 011.71
2026-01-26;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;54.00;;50 957.71
2026-01-27;ATM CASH WITHDRAWAL SANDTON;1 808.01;;49 149.70
2026-01-28;CARD PURCHASE 4067********1234 HOLLYWOODBETS ONLINE;690.00;;48 459.70
2026-01-28;CARD PURCHASE 4067********1234 TAKEALOT.COM CAPE TOWN;247.00;;48 212.70
2026-01-29;CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM;157.00;;48 055.70
2026-01-31;CARD PURCHASE 4067********1234 BUILDERS WAREHOUSE STRIJDOM;1 613.00;;46 442.70
2026-01-31;CARD PURCHASE 4067********1234 UBER EATS ZA;177.39;;46 265.31
2026-01-31;CARD PURCHASE 4067********1234 UBER EATS ZA;387.86;;45 877.45
2026-01-31;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;62.00;;45 815.45
2026-02-01;CARD PURCHASE 4067********1234 BOLT REQUEST TALLINN EE;160.53;;45 654.92
2026-02-01;CARD PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA;1 004.00;;44 650.92
2026-02-01;CARD PURCHASE 4067********1234 WOOLWORTHS FOOD SANDTON ZA;673.00;;43 977.92
2026-02-01;PARKING FOURWAYS MALL;22.09;;43 955.83
2026-02-01;PREPAID ELECTRICITY PURCHASE;1 200.00;;42 755.83
2026-02-02;DEBIT ORDER 10X INVEST RETIREMENT ANNUITY;2 500.00;;40 255.83
2026-02-03;CARD PURCHASE 4067********1234 UBER EATS ZA;403.00;;39 852.83
2026-02-03;CARD PURCHASE 4067********1234 UBER TRIP HELP.UBER.COM;188.00;;39 664.83
2026-02-03;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;58.00;;39 606.83
2026-02-03;DEBIT ORDER APPLE.COM/BILL ICLOUD 2TB;149.99;;39 456.84
2026-02-04;CARD PURCHASE 4067********1234 KFC WITKOPPEN;124.00;;39 332.84
2026-02-04;CARD PURCHASE 4067********1234 STARBUCKS ROSEBANK;56.65;;39 276.19
2026-02-04;CARD PURCHASE 4067********1234 WOOLWORTHS FOOD SANDTON ZA;762.09;;38 514.10
2026-02-05;CARD FEE;30.00;;38 484.10
2026-02-05;CARD PURCHASE 4067********1234 STEAM GAMES;101.98;;38 382.12
2026-02-05;CARD PURCHASE 4067********1234 UBER EATS ZA;252.00;;38 130.12
2026-02-05;CARD PURCHASE 4067********1234 WOOLWORTHS FOOD SANDTON ZA;790.01;;37 340.11
2026-02-06;CARD PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA;569.00;;36 771.11
2026-02-06;CARD PURCHASE 4067********1234 KFC WITKOPPEN;89.72;;36 681.39
2026-02-06;CARD PURCHASE 4067********1234 SPORTSCENE SANDTON CITY;1 083.00;;35 598.39
2026-02-06;CARD PURCHASE 4067********1234 TOPS AT SPAR LONEHILL;778.00;;34 820.39
2026-02-07;CARD PURCHASE 4067********1234 BETWAY SA;456.40;;34 363.99
2026-02-07;CARD PURCHASE 4067********1234 BUILDERS WAREHOUSE STRIJDOM;323.00;;34 040.99
2026-02-07;CARD PURCHASE 4067********1234 ENGEN FOURWAYS;1 086.00;;32 954.99
2026-02-07;CARD PURCHASE 4067********1234 STARBUCKS ROSEBANK;62.00;;32 892.99
2026-02-07;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;77.80;;32 815.19
2026-02-08;CARD PURCHASE 4067********1234 UBER EATS ZA;308.06;;32 507.13
2026-02-08;CARD PURCHASE 4067********1234 VIDA E CAFFE NICOLWAY;43.66;;32 463.47
2026-02-08;SMS NOTIFICATION FEE;6.00;;32 457.47
2026-02-09;CARD PURCHASE 4067********1234 BETWAY SA;341.00;;32 116.47
2026-02-09;CARD PURCHASE 4067********1234 CHECKERS HYPER FOURWAYS ZA;729.57;;31 386.90
2026-02-09;DEBIT ORDER SPOTIFY P29B4CE1F STOCKHOLM;66.99;;31 319.91
2026-02-09;DEBIT ORDER VIRGIN ACTIVE SA PTY;855.00;;30 464.91
