Statement of Account
Account Number,1234567890
Statement Period,01 June 2026 to 30 June 2026
Opening Balance,18450.22

Transaction Date,Description,Amount,Balance
01/06/2026,"SALARY IGNITION GROUP PTY LTD",42000.00,60450.22
01/06/2026,"MONTHLY ACCOUNT FEE",-135.00,60315.22
01/06/2026,"IB PAYMENT TO JONES PROPERTIES RENT JUNE",-12500.00,47815.22
02/06/2026,"CARD PURCHASE 4123****8891 CHECKERS HYPER SANDTON 02 JUN",-1842.66,45972.56
02/06/2026,"CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK",-52.00,45920.56
03/06/2026,"DEBIT ORDER DISCOVERY LIFE PREMIUM",-1890.00,44030.56
03/06/2026,"DEBIT ORDER NETFLIX.COM 8829102",-199.00,43831.56
03/06/2026,"DEBIT ORDER SHOWMAX 772211",-99.00,43732.56
04/06/2026,"ATM CASH WITHDRAWAL SANDTON CITY 04 JUN",-2000.00,41732.56
04/06/2026,"CASH WITHDRAWAL FEE",-45.00,41687.56
05/06/2026,"CARD PURCHASE 4123****8891 UBER EATS HELP.UBER.COM",-289.50,41398.06
05/06/2026,"CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK",-52.00,41346.06
06/06/2026,"CARD PURCHASE 4123****8891 ENGEN SANDTON 06 JUN",-980.15,40365.91
07/06/2026,"CARD PURCHASE 4123****8891 WOOLWORTHS FOOD HYDE PARK",-643.20,39722.71
08/06/2026,"DEBIT ORDER VODACOM 0821234567",-899.00,38823.71
08/06/2026,"CARD PURCHASE 4123****8891 SPOTIFY P2938471",-119.99,38703.72
09/06/2026,"CARD PURCHASE 4123****8891 BETWAY ZA",-500.00,38203.72
09/06/2026,"CARD PURCHASE 4123****8891 BETWAY ZA",-500.00,37703.72
10/06/2026,"CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK",-52.00,37651.72
11/06/2026,"CARD PURCHASE 4123****8891 TAKEALOT.COM ONLINE",-1249.00,36402.72
12/06/2026,"CARD PURCHASE 4123****8891 NANDOS SANDTON",-215.00,36187.72
12/06/2026,"IB PAYMENT TO EASYEQUITIES ZAR WALLET",-3000.00,33187.72
13/06/2026,"CARD PURCHASE 4123****8891 CHECKERS SIXTY60 DELIVERY",-712.45,32475.27
14/06/2026,"CARD PURCHASE 4123****8891 VIRGIN ACTIVE SANDTON",-899.00,31576.27
15/06/2026,"CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK",-52.00,31524.27
16/06/2026,"PREPAID ELECTRICITY CITY POWER",-1200.00,30324.27
17/06/2026,"CARD PURCHASE 4123****8891 MR D FOOD DELIVERY",-342.80,29981.47
18/06/2026,"CARD PURCHASE 4123****8891 TOPS AT SPAR SANDTON",-687.90,29293.57
19/06/2026,"CARD PURCHASE 4123****8891 DIS-CHEM PHARMACY",-432.10,28861.47
20/06/2026,"CARD PURCHASE 4123****8891 UBER TRIP HELP.UBER.COM",-142.00,28719.47
21/06/2026,"CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK",-52.00,28667.47
22/06/2026,"DEBIT ORDER MULTICHOICE DSTV PREMIUM",-949.00,27718.47
23/06/2026,"CARD PURCHASE 4123****8891 SPUR STEAK RANCHES FOURWAYS",-624.00,27094.47
24/06/2026,"UNSUCCESSFUL DEBIT ORDER FEE",-172.50,26921.97
24/06/2026,"DEBIT INTEREST CHARGED",-318.44,26603.53
25/06/2026,"CARD PURCHASE 4123****8891 PICK N PAY MIDRAND",-1122.30,25481.23
26/06/2026,"CARD PURCHASE 4123****8891 APPLE.COM/BILL ICLOUD",-49.00,25432.23
27/06/2026,"CARD PURCHASE 4123****8891 STER KINEKOR SANDTON",-280.00,25152.23
28/06/2026,"CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK",-52.00,25100.23
29/06/2026,"IB PAYMENT TO WESBANK VEHICLE FINANCE",-5480.00,19620.23
30/06/2026,"CARD PURCHASE 4123****8891 SHELL ULTRA CITY MIDRAND",-1015.40,18604.83
30/06/2026,"TRAFFIC FINE JMPD PAYMENT",-750.00,17854.83
Closing Balance,,,17854.83
