Date;Details;Debit;Credit;Fee
25-06-2026;CARD PURCHASE 4123****8891 PICK N PAY MIDRAND;1122.30;;
26-06-2026;CARD PURCHASE 4123****8891 APPLE.COM/BILL ICLOUD;49.00;;
27-06-2026;CARD PURCHASE 4123****8891 STER KINEKOR SANDTON;280.00;;
28-06-2026;CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK;52.00;;
29-06-2026;IB PAYMENT TO WESBANK VEHICLE FINANCE;5480.00;;
30-06-2026;CARD PURCHASE 4123****8891 SHELL ULTRA CITY MIDRAND;1015.40;;
30-06-2026;TRAFFIC FINE JMPD PAYMENT;750.00;;
01-07-2026;SALARY IGNITION GROUP PTY LTD;;42000.00;
01-07-2026;MONTHLY ACCOUNT FEE;135.00;;
01-07-2026;IB PAYMENT TO JONES PROPERTIES RENT JULY;12500.00;;
02-07-2026;CARD PURCHASE 4123****8891 WOOLWORTHS FOOD HYDE PARK;1204.55;;3.50
02-07-2026;CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK;54.00;;
03-07-2026;DEBIT ORDER DISCOVERY LIFE PREMIUM;1890.00;;
03-07-2026;DEBIT ORDER NETFLIX.COM 8829102;199.00;;
03-07-2026;DEBIT ORDER SHOWMAX 772211;99.00;;
03-07-2026;DEBIT ORDER DISNEY PLUS ZA;139.00;;
04-07-2026;ATM CASH WITHDRAWAL SANDTON CITY 04 JUL;3000.00;;45.00
05-07-2026;CARD PURCHASE 4123****8891 UBER EATS HELP.UBER.COM;412.75;;
06-07-2026;CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK;54.00;;
06-07-2026;CARD PURCHASE 4123****8891 ENGEN SANDTON;1085.00;;3.50
07-07-2026;CARD PURCHASE 4123****8891 BETWAY ZA;1500.00;;
08-07-2026;DEBIT ORDER VODACOM 0821234567;899.00;;
08-07-2026;CARD PURCHASE 4123****8891 SPOTIFY P2938471;119.99;;
09-07-2026;CARD PURCHASE 4123****8891 TAKEALOT.COM ONLINE;2899.00;;
10-07-2026;CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK;54.00;;
11-07-2026;CARD PURCHASE 4123****8891 MR D FOOD DELIVERY;389.90;;
12-07-2026;CARD PURCHASE 4123****8891 CHECKERS HYPER SANDTON;1655.20;;3.50
13-07-2026;CARD PURCHASE 4123****8891 TOPS AT SPAR SANDTON;912.40;;
14-07-2026;CARD PURCHASE 4123****8891 VIRGIN ACTIVE SANDTON;899.00;;
15-07-2026;CARD PURCHASE 4123****8891 VIDA E CAFFE ROSEBANK;54.00;;
15-07-2026;PREPAID ELECTRICITY CITY POWER;1450.00;;
